overhang=2 fmax=1 | h: len=32 eps=-1 dl=0 k=-8 lo=-8 a=[-3, -1, 1, -1, 1, -3, -3, 1] | h*: len=30 lo=-10 a=[4, 2, -1, -1, -1, 1, -1, -1, 1, 1] | f: lo=-10 [1, 1, 0, -1, -1, 1, 1]
overhang=2 fmax=1 | h: len=32 eps=-1 dl=0 k=-8 lo=-8 a=[-3, -5, -1, 1, -1, -1, 1, 1] | h*: len=30 lo=-10 a=[4, 2, -1, -1, -1, 1, -1, -1, 1, 1] | f: lo=-10 [1, 1]
overhang=1 fmax=1 | h: len=26 eps=-1 dl=0 k=-7 lo=-7 a=[-1, 1, -3, 1, 3, 1, 1] | h*: len=24 lo=-8 a=[4, 1, -1, -1, -1, -1, 1, 1] | f: lo=-8 [1, 1, -1, -1]
overhang=1 fmax=1 | h: len=26 eps=-1 dl=0 k=-7 lo=-7 a=[3, -1, 1, 1, 3, 1, 1] | h*: len=24 lo=-8 a=[4, 1, -1, -1, -1, -1, 1, 1] | f: lo=-8 [1, 0, -1, -1]
overhang=0 fmax=1 | h: len=22 eps=-1 dl=0 k=-7 lo=-7 a=[1, -1, -1, -1, -1, 1, -3] | h*: len=20 lo=-7 a=[1, -1, -1, -1, 3, -1, 1] | f: lo=-3 [1]
overhang=0 fmax=1 | h: len=22 eps=-1 dl=0 k=-7 lo=-7 a=[1, -1, 1, -1, 1, 1, -3] | h*: len=20 lo=-7 a=[1, -1, -3, 1, 1, -1, 1] | f: lo=-5 [-1, 0, 1]
overhang=2 fmax=1 | h: len=30 eps=-1 dl=0 k=-7 lo=-7 a=[-3, -5, -1, 1, 1, -1, 1] | h*: len=28 lo=-9 a=[4, 2, -1, -1, -1, 1, 1, -1, 1] | f: lo=-9 [1, 1]
overhang=2 fmax=1 | h: len=30 eps=-1 dl=0 k=-7 lo=-7 a=[-3, -5, -1, 1, -1, -1, 1] | h*: len=28 lo=-9 a=[4, 2, -1, -1, -1, 1, -1, -1, 1] | f: lo=-9 [1, 1]
overhang=2 fmax=1 | h: len=28 eps=-1 dl=0 k=-6 lo=-6 a=[-3, -5, -1, 1, 1, 1] | h*: len=26 lo=-8 a=[4, 2, -1, -1, -1, 1, 1, 1] | f: lo=-8 [1, 1]
overhang=2 fmax=1 | h: len=28 eps=-1 dl=0 k=-6 lo=-6 a=[-3, -5, 1, 1, 1, 1] | h*: len=26 lo=-8 a=[4, 2, -1, -1, 1, 1, 1, 1] | f: lo=-8 [1, 1]
overhang=1 fmax=1 | h: len=24 eps=-1 dl=0 k=-6 lo=-6 a=[1, -5, -1, 1, 1, 1] | h*: len=22 lo=-7 a=[4, -1, -1, -1, 1, 1, 1] | f: lo=-7 [1]
overhang=1 fmax=1 | h: len=24 eps=-1 dl=0 k=-6 lo=-6 a=[1, -1, -1, 1, 3, -3] | h*: len=22 lo=-7 a=[4, -1, -1, 1, 1, 1, 1] | f: lo=-7 [1, 0, -1, 0, 1]
overhang=3 fmax=1 | h: len=32 eps=-1 dl=0 k=-6 lo=-6 a=[3, -3, -5, 1, 1, 1] | h*: len=30 lo=-9 a=[-4, -2, 2, 1, -1, -1, 1, 1, 1] | f: lo=-9 [-1, -1, 1, 1]
overhang=3 fmax=1 | h: len=32 eps=-1 dl=0 k=-6 lo=-6 a=[3, -3, -5, -1, 1, 1] | h*: len=30 lo=-9 a=[-4, -2, 2, 1, -1, -1, -1, 1, 1] | f: lo=-9 [-1, -1, 1, 1]
overhang=0 fmax=1 | h: len=20 eps=-1 dl=0 k=-6 lo=-6 a=[-1, -1, -1, -1, 1, -3] | h*: len=18 lo=-6 a=[-1, -1, -1, 3, -1, 1] | f: lo=-3 [1]
