n=301  logE0<=-0.844004 logE+-<=-0.827815  E0<=0.430 R0<=0.125  E+-<=0.438  rho(n)<=9.75  sigma(n)<=147  sum sigma<=147
n=16500  logE0<=-1240.48 logE+-<=-1240.47  E0<=1e-300 R0<=1e-300  E+-<=1e-300  rho(n)<=1.62e-59  sigma(n)<=2.43e-58  sum sigma<=1050
n=17000  logE0<=-1278.97 logE+-<=-1278.96  E0<=1e-300 R0<=1e-300  E+-<=1e-300  rho(n)<=1.62e-59  sigma(n)<=2.43e-58  sum sigma<=1050
n=17500  logE0<=-1317.47 logE+-<=-1317.46  E0<=1e-300 R0<=1e-300  E+-<=1e-300  rho(n)<=1.62e-59  sigma(n)<=2.43e-58  sum sigma<=1050
n=18000  logE0<=-1355.97 logE+-<=-1355.96  E0<=1e-300 R0<=1e-300  E+-<=1e-300  rho(n)<=1.62e-59  sigma(n)<=2.43e-58  sum sigma<=1050
n=18500  logE0<=-1394.47 logE+-<=-1394.45  E0<=1e-300 R0<=1e-300  E+-<=1e-300  rho(n)<=1.62e-59  sigma(n)<=2.43e-58  sum sigma<=1050
n=19000  logE0<=-1432.97 logE+-<=-1432.95  E0<=1e-300 R0<=1e-300  E+-<=1e-300  rho(n)<=1.62e-59  sigma(n)<=2.43e-58  sum sigma<=1050
n=19500  logE0<=-1471.47 logE+-<=-1471.46  E0<=1e-300 R0<=1e-300  E+-<=1e-300  rho(n)<=1.62e-59  sigma(n)<=2.43e-58  sum sigma<=1050
n=20000  logE0<=-1509.97 logE+-<=-1509.96  E0<=1e-300 R0<=1e-300  E+-<=1e-300  rho(n)<=1.62e-59  sigma(n)<=2.43e-58  sum sigma<=1050
LEMMAB_R0 CRUDE PASSED [Y=0.59 G=0.5762 ETA=0.0037] 301<=n<=20000: max E0<=0.430, max E+-<=0.438, sum sigma<=1050, sum rho<=70.0
exit 0
