# zeta_toy_growth c=3 e=4 mode=lin dmax=22 (generators a=translation by 1, r=shift)
# d u_d k0_in_sphere max_abs_k secs maxrss_mb
0 1 1 0 0.0 2
1 4 2 1 0.0 2
2 12 2 2 0.0 2
3 36 6 3 0.0 2
4 100 14 4 0.0 2
5 250 24 5 0.0 2
6 616 38 6 0.0 3
7 1486 84 7 0.0 3
8 3488 146 8 0.0 3
9 8104 238 9 0.0 3
10 18602 484 10 0.0 4
11 42344 806 11 0.1 5
12 95868 1386 12 0.1 7
13 215822 2576 13 0.2 13
14 484174 4316 14 0.3 25
15 1083170 7568 15 0.7 51
16 2417128 13382 16 1.3 110
