# zeta_toy_growth c=2 e=-1 mode=basis dmax=17 (generators a=translation by 1, r=shift)
# d u_d k0_in_sphere max_abs_k secs maxrss_mb
0 1 1 0 0.0 2
1 4 2 1 0.0 2
2 12 2 2 0.0 2
3 36 6 3 0.0 2
4 100 14 4 0.0 2
5 236 22 5 0.0 2
6 528 46 6 0.0 3
7 1112 70 7 0.0 3
8 2286 116 8 0.0 3
9 4554 196 9 0.0 3
10 8876 286 10 0.0 3
11 17036 466 11 0.1 4
12 32140 706 12 0.1 5
13 60042 1060 13 0.2 6
14 111176 1638 14 0.2 9
15 204298 2304 15 0.4 14
16 372540 3742 16 0.6 24
17 676420 5214 17 0.9 25
