# zeta_toy_growth FAST (Klein-orbit reps, u128 exact packing) c=2 e=1 dmax=45 passes=32
# d u_d k0_in_sphere max_abs_k reps secs maxrss_mb
0 1 1 0 1 0.0 2
1 4 2 1 2 0.0 2
2 12 2 2 4 0.0 2
3 36 6 3 10 0.0 2
4 100 14 4 26 0.0 2
5 236 22 5 60 0.0 2
6 528 46 6 134 0.0 2
7 1112 70 7 280 0.0 2
8 2286 116 8 573 0.0 3
9 4554 196 9 1140 0.0 3
10 8876 286 10 2222 0.0 3
11 17036 466 11 4262 0.0 3
12 32140 706 12 8039 0.0 4
13 60042 1060 13 15013 0.1 4
14 111176 1638 14 27799 0.1 5
15 204298 2304 15 51078 0.1 6
16 372540 3742 16 93143 0.2 8
17 676420 5214 17 169111 0.3 12
18 1223432 7974 18 305866 0.5 19
19 2205098 11336 19 551280 0.8 31
20 3963816 16634 20 990968 1.3 52
21 7106970 24704 21 1776752 2.1 91
22 12717010 34648 22 3179270 3.8 161
23 22720810 52036 23 5680212 6.5 293
24 40530550 72252 24 10132660 11.2 522
25 72187900 106062 25 18046995 19.5 936
26 128440824 150698 26 32110243 34.5 1605
27 228312488 214190 27 57078143 60.9 2697
# GUARD stop at d=28 projected 3237 MB
