# zeta_toy_growth c=2 e=3 mode=lin dmax=24 (generators a=translation by 1, r=shift)
# d u_d k0_in_sphere max_abs_k secs maxrss_mb
0 1 1 0 0.0 2
1 4 2 1 0.0 2
2 12 2 2 0.0 2
3 36 6 3 0.0 2
4 86 12 4 0.0 2
5 200 14 5 0.0 2
6 456 30 6 0.0 3
7 1000 54 7 0.0 3
8 2168 70 8 0.0 3
9 4622 156 9 0.0 3
10 9760 214 10 0.0 3
11 20490 364 11 0.0 4
12 42668 650 12 0.1 5
13 88552 926 13 0.1 8
14 183036 1682 14 0.2 12
15 377134 2620 15 0.3 21
16 775692 4098 16 0.6 40
17 1592114 7052 17 1.1 78
18 3263528 10662 18 2.0 155
19 6682424 17678 19 3.8 312
20 13670128 28398 20 7.4 637
