# zeta_toy_growth c=1 e=2 mode=lin dmax=60 (generators a=translation by 1, r=shift)
# d u_d k0_in_sphere max_abs_k secs maxrss_mb
0 1 1 0 0.0 2
1 4 2 1 0.0 2
2 12 2 2 0.0 2
3 26 4 3 0.0 2
4 50 4 4 0.0 2
5 98 8 5 0.0 2
6 184 10 6 0.0 2
7 336 14 7 0.0 3
8 606 24 8 0.0 3
9 1086 28 9 0.0 3
10 1914 52 10 0.0 3
11 3350 60 11 0.0 3
12 5846 96 12 0.0 3
13 10134 132 13 0.0 4
14 17506 180 14 0.0 4
15 30126 284 15 0.1 5
16 51726 352 16 0.1 6
17 88598 556 17 0.1 9
18 151490 716 18 0.2 12
19 258678 1052 19 0.3 19
20 441070 1480 20 0.5 30
21 751406 1996 21 0.8 48
22 1278946 2948 22 1.2 79
23 2175454 3868 23 1.9 132
24 3698254 5680 24 2.9 219
25 6284038 7660 25 4.7 365
26 10673890 10780 26 7.6 618
27 18124326 15100 27 12.4 1051
28 30767790 20504 28 20.5 1785
# GUARD stop at d=29 projected 2489 MB
