# zeta_toy_growth c=2 e=5 mode=lin dmax=22 (generators a=translation by 1, r=shift)
# d u_d k0_in_sphere max_abs_k secs maxrss_mb
0 1 1 0 0.0 2
1 4 2 1 0.0 2
2 12 2 2 0.0 2
3 36 6 3 0.0 2
4 100 14 4 0.0 2
5 252 22 5 0.0 2
6 640 42 6 0.0 3
7 1572 86 7 0.0 3
8 3788 158 8 0.0 3
9 9094 272 9 0.0 3
10 21558 536 10 0.0 4
11 50718 992 11 0.1 5
12 118758 1720 12 0.1 8
13 276954 3220 13 0.2 15
14 643586 5876 14 0.4 31
