# zeta_toy_growth FAST (Klein-orbit reps, u128 exact packing) c=2 e=1 dmax=28 passes=64
# d u_d k0_in_sphere max_abs_k reps secs maxrss_mb
0 1 1 0 1 0.0 2
1 4 2 1 2 0.0 2
2 12 2 2 4 0.0 2
3 36 6 3 10 0.0 2
4 100 14 4 26 0.0 2
5 236 22 5 60 0.0 2
6 528 46 6 134 0.0 2
7 1112 70 7 280 0.0 3
8 2286 116 8 573 0.0 3
9 4554 196 9 1140 0.0 3
10 8876 286 10 2222 0.0 3
11 17036 466 11 4262 0.0 3
12 32140 706 12 8039 0.1 4
13 60042 1060 13 15013 0.1 4
14 111176 1638 14 27799 0.1 5
15 204298 2304 15 51078 0.2 6
16 372540 3742 16 93143 0.3 7
17 676420 5214 17 169111 0.6 11
18 1223432 7974 18 305866 0.9 16
19 2205098 11336 19 551280 1.5 26
20 3963816 16634 20 990968 2.4 42
21 7106970 24704 21 1776752 4.0 72
22 12717010 34648 22 3179270 6.9 124
23 22720810 52036 23 5680212 12.0 221
24 40530550 72252 24 10132660 21.0 396
25 72187900 106062 25 18046995 35.8 705
26 128440824 150698 26 32110243 62.1 1224
27 228312488 214190 27 57078143 114.2 2133
28 405422650 314604 28 101355701 212.6 2287
