n=4600  E<=1e-300  rho(n)<=1.62e-59  sigma(n)<=2.43e-58  sum sigma<=4.96e-12  sum rho<=3.31e-13
n=4700  E<=1e-300  rho(n)<=1.62e-59  sigma(n)<=2.43e-58  sum sigma<=4.96e-12  sum rho<=3.31e-13
n=4800  E<=1e-300  rho(n)<=1.62e-59  sigma(n)<=2.43e-58  sum sigma<=4.96e-12  sum rho<=3.31e-13
n=4900  E<=1e-300  rho(n)<=1.62e-59  sigma(n)<=2.43e-58  sum sigma<=4.96e-12  sum rho<=3.31e-13
n=5000  E<=1e-300  rho(n)<=1.62e-59  sigma(n)<=2.43e-58  sum sigma<=4.96e-12  sum rho<=3.31e-13
n=5100  E<=1e-300  rho(n)<=1.62e-59  sigma(n)<=2.43e-58  sum sigma<=4.96e-12  sum rho<=3.31e-13
n=5200  E<=1e-300  rho(n)<=1.62e-59  sigma(n)<=2.43e-58  sum sigma<=4.96e-12  sum rho<=3.31e-13
n=5300  E<=1e-300  rho(n)<=1.62e-59  sigma(n)<=2.43e-58  sum sigma<=4.96e-12  sum rho<=3.31e-13
n=5400  E<=1e-300  rho(n)<=1.62e-59  sigma(n)<=2.43e-58  sum sigma<=4.96e-12  sum rho<=3.31e-13
n=5500  E<=1e-300  rho(n)<=1.62e-59  sigma(n)<=2.43e-58  sum sigma<=4.96e-12  sum rho<=3.31e-13
n=5600  E<=1e-300  rho(n)<=1.62e-59  sigma(n)<=2.43e-58  sum sigma<=4.96e-12  sum rho<=3.31e-13
n=5700  E<=1e-300  rho(n)<=1.62e-59  sigma(n)<=2.43e-58  sum sigma<=4.96e-12  sum rho<=3.31e-13
n=5800  E<=1e-300  rho(n)<=1.62e-59  sigma(n)<=2.43e-58  sum sigma<=4.96e-12  sum rho<=3.31e-13
n=5900  E<=1e-300  rho(n)<=1.62e-59  sigma(n)<=2.43e-58  sum sigma<=4.96e-12  sum rho<=3.31e-13
n=6000  E<=1e-300  rho(n)<=1.62e-59  sigma(n)<=2.43e-58  sum sigma<=4.96e-12  sum rho<=3.31e-13
LEMMAB CRUDE PASSED 151<=n<=6000: max E<=1.90e-14, sum_{n} sigma(n) <= 4.96e-12, sum rho(n) <= 3.31e-13
