m,tau,t1_over_tau,gatemargin_over_tau,boundC,R_over_tau25,abs_sinw,prec_bits
1,9.048652972857244847e-2,0.268105780996,0.778533556695,4.1324822874,-0.2569564796,0.9999391245,438
2,3.248006360894026973e-2,0.256234511532,0.760182783061,3.8565808803,0.2575635287,0.9999759942,443
3,1.655729376356225926e-2,0.253141840328,0.755182686973,3.7856463830,-0.2577407932,0.9999874918,449
4,1.001256273046692569e-2,0.251890981353,0.753132050489,3.7570578973,0.2578164023,0.9999923710,454
5,6.701405056882906927e-3,0.251262609967,0.752095589923,3.7427180099,-0.2578553558,0.9999948723,459
6,4.797543675591622175e-3,0.250902661810,0.751499950704,3.7345101767,0.2578779788,0.9999963202,465
7,3.603250557097398710e-3,0.250677370012,0.751126421120,3.7293752642,-0.2578922567,0.9999972321,804,-2.578922566541998981574711000725443567705952104564681919185362597596847779523635954414284532386351500322430581512467498847511125410252644358467321345222105946881888511041266443725335152752609e-1,9.999972321121080883041296102754825316412916463228622692607127602882085736570889454316738721926788276155545402822704025503848851476514421402819086563088721700765664747418956694780766575132280e-1,3.603250557097398829949768035676318644024317458877687151646056360826493151341185981965463174210377633463722871550271411760404382512879174870900150074292956097350591173764497040040642559239778e-3
8,2.805175005266948365e-3,0.250527037024,0.750876862900,3.7259498480,0.2579018354,0.9999978430,809,2.579018354453628393733753990637201685301901234441169655652639542918584885220368118757882966846993191449881096481413458823957826009525823360297358278739992317264897365405374289047878159042489e-1,9.999978430173253339394618858844288568822238002776311390585352397094339198541368328373742592120423172258121287165252445138465619241674333727297011368486174292552816126317793863743804645382828e-1,2.805175005266948179026603336569544975652347692207678036630260673092394052323808594566476410544681185335091495607914358923271505994596300678661712535078374030177582562581433195131771154512402e-3
9,2.245624532274110522e-3,0.250421738056,0.750701915154,3.7235510382,-0.2579085696,0.9999982721,814,-2.579085696082160534961339342360006829781450939187377072149756072889319788623527883954515554029646707139559313125041030072159653114224428725679623188321110169750181017233125490858782208362964e-1,9.999982720695782149235394528006320103914243727070770765998918322558015021088642392078032122333301382853441089467230604890260107593222365050491295486209149821509730745200654445004674721616046e-1,2.245624532274110589220179664745309300499040067696097511797654480441638744452303600494718068612238902459799758715598456272255491659504754540480839637864328475669405389756251451280768637924134e-3
10,1.838213503601897380e-3,0.250345122923,0.750574547259,3.7218059229,0.2579134823,0.9999985848,819,2.579134823068359055711511175408415637402861176674963838998833058071297742579780896903236810719799013797049246499174927043782271297097251494541235472092619039150143128713799898769152437828740e-1,9.999985848425604751182323184857266135833860391991196486625904218157949793476464078923100096712750507924162862869951805961528755722156315134979208786212687963499218572650418082077962214423665e-1,1.838213503601897333878955672573731427102565125695877294392171980286759448575368388765247637721187566684024614484901735223179369686472937005595837956481204361733137505045942968601312766329597e-3
11,1.532397753786105595e-3,0.250287642752,0.750478947648,3.7204967955,-0.2579171752,0.9999988198,824,-2.579171752378438398109395298583299252639593571660343967166184456312957117194680160522063434538816944350236539991247733786095647531429366174971846381462526003804299747315943491907189124521726e-1,9.999988198289467172140852587102883643026491712230955180162819654444709232318410918292187621419372973865717399090526161728198727973650139571139407175970575183759441485657205432803101499791103e-1,1.532397753786105634814482412111739784887860804661449060391693714931705649361096101101999951663857797767869177332271373447060657240639004499120789362977861381779358685573896933738783743895263e-3
12,1.297004527549051140e-3,0.250243416260,0.750405366465,3.7194896049,0.2579200209,0.9999990008,829,2.579200208784880390809774104983348962619305219210155476259134149181678673918070447756363425036395086664970394583989481852347961161726549737170901917260842714916049576070147093350872061640929e-1,9.999990008250957411353987679371204585919981850677296145700783373396502246512791158464475697828701017642022822423994237350598865498246439223435472129839374984964262356973809541562777213518236e-1,1.297004527549051171898810338907946553705489793816698935433469292763941175779803845499709144443421780938642844955240495879604666147425686223717320222795019219202903045841424258640563254618506e-3
13,1.111960917713157582e-3,0.250208660179,0.750347526414,3.7186981375,-0.2579222598,0.9999991432,834,-2.579222597528678948927148503679337150069206514273746737858944433558061651003184339109264798272496676452635647591141862523265711264956852600538794126372276968706416351650639505749904619260725e-1,9.999991431812666185201382278579239393490237353922407173353060702295445333492098826030849154038380398845555818140064889985251018685060820299585595107708294116686545310698382372873613544316345e-1,1.111960917713157582167729942051729990355688524089168772084963424173124897253857451810714471973119734159437847671535989617015319352831910060352928054194550667644891657880354840745079801178028e-3
14,9.638678341106890262e-4,0.250180851072,0.750301237723,3.7180648980,0.2579240528,0.9999992572,839,2.579240527668321064979521094273773786288511665250143952702247892077608160280775567677942481192049346489086704669195938839064660329444343269640088290632380281463505528071825875876982234527971e-1,9.999992571580667046443248143306882851950406607457664193207532988434505458852930233622619025417601811456884571167558841702167253332873058501723018510129124603723088253576328059971853772670948e-1,9.638678341106890561484380008954346515412698510601682334877389872722914983060533347973489657433177354748528285073095788574456811531384996562363060283819477288173310609642216989980266668347394e-4
15,8.435040938771510817e-4,0.250158253397,0.750263617258,3.7175503480,-0.2579255108,0.9999993498,843,-2.579255108462637434111843954983958695104859327427042851005596022452275761452330965925436735293966767254144787749290842391612802530987693608690658106072442174072053013025814094036783836900315e-1,9.999993498243675864921969409433352307399265874450889462730386378780556415134566742025582586674600704824788352714607219639868552549976361814488250652968174051615218844085315313410908492871362e-1,8.435040938771510916724396190295376126505160277575109387968770007573982840125015606814025009418710315308580733141223156082837220072382412922272862027383813183072909149902803003565846372560378e-4
16,7.443553477113373004e-4,0.250139641678,0.750232628357,3.7171265721,0.2579267125,0.9999994262,848,2.579267124641970152669864021029782041668649935340123223241174867745444662935341456585745367408774196299570453204410778696047241934803585297814501839648181027408764783241435150967908180476785e-1,9.999994261782983374747090913864486436611459503455285050224726828991223703939986155273278189992107961434516155272148380828048265293605749923613788766577169887767066254894103639394270161976185e-1,7.443553477113372476178964058942370278342382392942954143495383255372320657825674727272709724565509715376505759831740326212985770209974452116209756331377764650437685060841122787692124788539035e-4
