m,tau,t1_over_tau,gatemargin_over_tau,boundC,R_over_tau25,abs_sinw,prec_bits,r25_hp,sinw_hp,tau_hp
52,7.352134056949611012e-5,0.250013785983,0.750022975588,3.7142612499,0.2579348553,0.9999999433,710,2.5793485529322341015257865072208737250058947e-1,9.9999994327570183068992141543867311374824855e-1,7.3521340569496106858378750711131953588616617e-5
53,7.079855508584555624e-5,0.250013275408,0.750022124705,3.7142496269,-0.2579348884,0.9999999454,715,-2.5793488838883557200882735720292001843075677e-1,9.9999994537624350832187750428879291225076927e-1,7.0798555085845556361527453063122070535807900e-5
54,6.822426910724881664e-5,0.250012792681,0.750021320230,3.7142386379,0.2579349197,0.9999999474,720,2.5793491967976662543487685425324373967940526e-1,9.9999994736223552807343694710463417399527138e-1,6.8224269107248823065074444042416255759894498e-5
55,6.578787692211138130e-5,0.250012335813,0.750020558847,3.7142282375,-0.2579349493,0.9999999492,726,-2.5793494929487597250012336720162716852415638e-1,9.9999994924185780650400052725992821004587685e-1,6.5787876922111387240451098004499449790592425e-5
56,6.347970300137536766e-5,0.250011902990,0.750019837533,3.7142183846,0.2579349774,0.9999999510,731,2.5793497735172431136153701366197264913968112e-1,9.9999995102257294926696588898995245160430790e-1,6.3479703001375371611996773801231874686473415e-5
57,6.129090578955267478e-5,0.250011492554,0.750019153525,3.7142090412,-0.2579350040,0.9999999527,736,-2.5793500395774190930155370341481240799814406e-1,9.9999995271120042916506345959085258630496749e-1,6.1290905789552675770281557250003683311010406e-5
58,5.921339290816026173e-5,0.250011102986,0.750018504295,3.7142001730,0.2579350292,0.9999999543,742,2.5793502921125834084069810717036536333725955e-1,9.9999995431398196692311037643770140561729373e-1,5.9213392908160260562461353297432668937875993e-5
59,5.723974625022867013e-5,0.250010732896,0.750017887523,3.7141917481,-0.2579350532,0.9999999558,747,-2.5793505320241215147202476324233715617410472e-1,9.9999995583663928713695962283605232114920570e-1,5.7239746250228669393496212925694572971242271e-5
60,5.536315566896133511e-5,0.250010381007,0.750017301082,3.7141837376,0.2579350760,0.9999999573,752,2.5793507601395618559890235092258382382288575e-1,9.9999995728442524895357647235713026273426878e-1,5.5363155668961337606674543244446664027383844e-5
61,5.357736015184309391e-5,0.250010046144,0.750016743015,3.7141761146,-0.2579350977,0.9999999587,758,-2.5793509772197203402100557638425199559764351e-1,9.9999995866216920600687734881098177217118017e-1,5.3577360151843095451646994080811122042015307e-5
62,5.187659552984796553e-5,0.250009727226,0.750016211520,3.7141688547,0.2579351184,0.9999999600,763,2.5793511839650513525748005194595968802677369e-1,9.9999995997431732811304065968151814457216530e-1,5.1876595529847967848734435752848959438703256e-5
63,5.025554790501136530e-5,0.250009423257,0.750015704938,3.7141619350,-0.2579351381,0.9999999612,768,-2.5793513810213044391478253248590355837521103e-1,9.9999996122496851426477942385042327857472503e-1,5.0255547905011364398521359409910191951281715e-5
64,4.870931209269521066e-5,0.250009133317,0.750015221734,3.7141553347,0.2579351569,0.9999999624,774,2.5793515689845720746910194614601204282796275e-1,9.9999996241790643933320458311187898350383721e-1,4.8709312092695212196432131623801974041218156e-5
65,4.723335447081094613e-5,0.250008856556,0.750014760493,3.7141490345,-0.2579351748,0.9999999636,779,-2.5793517484058022872610319889866044471064498e-1,9.9999996355662820295080746910646978014150783e-1,4.7233354470810946435202479022528131046834219e-5
66,4.582347970988579920e-5,0.250008592187,0.750014319903,3.7141430163,0.2579351920,0.9999999646,784,2.5793519197948400076065803716926631405629610e-1,9.9999996464436998614431186634252336528493164e-1,4.5823479709885798020251565419601224990280000e-5
67,4.447580092747777905e-5,0.250008339481,0.750013898750,3.7141372636,-0.2579352084,0.9999999657,790,-2.5793520836240525625355232800289513547250257e-1,9.9999996568413006762819599711091354670067451e-1,4.4475800927477779552738281902534667838848472e-5
68,4.318671286997688500e-5,0.250008097761,0.750013495906,3.7141317610,0.2579352240,0.9999999667,795,2.5793522403315875063722644548617614435678574e-1,9.9999996667868950578508952849748819356239088e-1,4.3186712869976886446466485536021031046547784e-5
69,4.195286777585919375e-5,0.250007866401,0.750013110326,3.7141264943,-0.2579352390,0.9999999676,800,-2.5793523903243047911829523521317313855077561e-1,9.9999996763063075302701300964794081808940020e-1,4.1952867775859195839519829583922021982377214e-5
70,4.077115361830384798e-5,0.250007644816,0.750012741037,3.7141214501,0.2579352534,0.9999999685,806,2.5793525339804199548726253423186875879928183e-1,9.9999996854235443543682045910772005319293472e-1,4.0771153618303849760299537910889887559131807e-5
71,3.963867446283797177e-5,0.250007432464,0.750012387135,3.7141166160,-0.2579352672,0.9999999694,811,-2.5793526716518904234253497098746276007262012e-1,9.9999996941609450148654915487266692602862297e-1,3.9638674462837971443785408668535014464099140e-5
72,3.855273270825861510e-5,0.250007228839,0.750012047775,3.7141119806,0.2579352804,0.9999999703,816,2.5793528036665730682075666264013130681349611e-1,9.9999997025393191851194878037946767444879975e-1,3.8552732708258612931749536416708107863578496e-5
73,3.751081300726238828e-5,0.250007033468,0.750011722173,3.7141075332,-0.2579352930,0.9999999711,822,-2.5793529303301777381600317648502876591081868e-1,9.9999997105780707389808545864634685968754279e-1,3.7510813007262387228147563000935523453096757e-5
