m,tau,t1_over_tau,gatemargin_over_tau,boundC,R_over_tau25,abs_sinw,prec_bits
105,1.820647085638055945e-5,0.250003413758,0.750005689533,3.7140251335,-0.2579355277,0.9999999860,992
106,1.786617015303298492e-5,0.250003349950,0.750005583188,3.7140236809,0.2579355319,0.9999999862,997
107,1.753532198538963524e-5,0.250003287915,0.750005479798,3.7140222687,-0.2579355359,0.9999999865,1003
108,1.721357948324124434e-5,0.250003227586,0.750005379253,3.7140208954,0.2579355398,0.9999999867,1008
109,1.690061154256952819e-5,0.250003168903,0.750005281450,3.7140195596,-0.2579355436,0.9999999870,1013
110,1.659610197336026902e-5,0.250003111806,0.750005186290,3.7140182598,0.2579355473,0.9999999872,1019
111,1.629974870067525301e-5,0.250003056239,0.750005093680,3.7140169949,-0.2579355509,0.9999999874,1024
112,1.601126301521282603e-5,0.250003002147,0.750005003528,3.7140157635,0.2579355544,0.9999999876,1029
113,1.573036886988428697e-5,0.250002949478,0.750004915748,3.7140145645,-0.2579355578,0.9999999879,1035
114,1.545680221920528233e-5,0.250002898183,0.750004830258,3.7140133969,0.2579355612,0.9999999881,1040
115,1.519031039854954723e-5,0.250002848214,0.750004746979,3.7140122594,-0.2579355644,0.9999999883,1045
116,1.493065154053953036e-5,0.250002799527,0.750004665836,3.7140111511,0.2579355675,0.9999999885,1051
117,1.467759402605630060e-5,0.250002752078,0.750004586755,3.7140100709,-0.2579355706,0.9999999887,1056
118,1.443091596754146854e-5,0.250002705825,0.750004509668,3.7140090180,0.2579355736,0.9999999889,1061
119,1.419040472243847305e-5,0.250002660728,0.750004434508,3.7140079914,-0.2579355765,0.9999999891,1067
120,1.395585643478062198e-5,0.250002616749,0.750004361211,3.7140069903,0.2579355794,0.9999999892,1072
121,1.372707560308031222e-5,0.250002573852,0.750004289717,3.7140060138,-0.2579355822,0.9999999894,1077
122,1.350387467280883941e-5,0.250002532001,0.750004219967,3.7140050611,0.2579355849,0.9999999896,1083
123,1.328607365188041110e-5,0.250002491163,0.750004151904,3.7140041314,-0.2579355875,0.9999999897,1088
124,1.307349974766814583e-5,0.250002451304,0.750004085474,3.7140032241,0.2579355901,0.9999999899,1093
125,1.286598702418502469e-5,0.250002412395,0.750004020626,3.7140023383,-0.2579355926,0.9999999901,1099
126,1.266337607815960515e-5,0.250002374405,0.750003957310,3.7140014735,0.2579355951,0.9999999902,1104
127,1.246551373282564342e-5,0.250002337305,0.750003895478,3.7140006290,-0.2579355975,0.9999999904,1109
128,1.227225274832712531e-5,0.250002301068,0.750003835084,3.7139998041,0.2579355999,0.9999999905,1115
129,1.208345154771627743e-5,0.250002265667,0.750003776083,3.7139989982,-0.2579356022,0.9999999907,1120
130,1.189897395759233628e-5,0.250002231077,0.750003718434,3.7139982108,0.2579356044,0.9999999908,1125
131,1.171868896249380974e-5,0.250002197273,0.750003662095,3.7139974413,-0.2579356066,0.9999999910,1131
132,1.154247047221699000e-5,0.250002164231,0.750003607026,3.7139966891,0.2579356087,0.9999999911,1136
133,1.137019710128902158e-5,0.250002131929,0.750003553191,3.7139959538,-0.2579356108,0.9999999912,1141
134,1.120175195987528399e-5,0.250002100345,0.750003500551,3.7139952348,0.2579356129,0.9999999914,1147
135,1.103702245544852786e-5,0.250002069458,0.750003449073,3.7139945317,-0.2579356149,0.9999999915,1152
136,1.087590010459133560e-5,0.250002039247,0.750003398722,3.7139938440,0.2579356168,0.9999999916,1157
137,1.071828035434452137e-5,0.250002009693,0.750003349466,3.7139931712,-0.2579356188,0.9999999917,1163
138,1.056406241255205777e-5,0.250001980777,0.750003301273,3.7139925130,0.2579356206,0.9999999918,1168
139,1.041314908668848517e-5,0.250001952480,0.750003254112,3.7139918688,-0.2579356225,0.9999999920,1173
140,1.026544663068752474e-5,0.250001924786,0.750003207955,3.7139912384,0.2579356243,0.9999999921,1179
141,1.012086459932115335e-5,0.250001897676,0.750003162773,3.7139906212,-0.2579356260,0.9999999922,1184
142,9.979315709706748646e-6,0.250001871135,0.750003118539,3.7139900171,0.2579356277,0.9999999923,1189
143,9.840715709546311464e-6,0.250001845147,0.750003075227,3.7139894255,-0.2579356294,0.9999999924,1195
144,9.704983251726358447e-6,0.250001819697,0.750003032810,3.7139888461,0.2579356311,0.9999999925,1200
145,9.572039774929961360e-6,0.250001794770,0.750002991265,3.7139882787,-0.2579356327,0.9999999926,1205
146,9.441809389933763225e-6,0.250001770351,0.750002950568,3.7139877228,0.2579356343,0.9999999927,1210
147,9.314218771282666034e-6,0.250001746428,0.750002910696,3.7139871782,-0.2579356358,0.9999999928,1216
148,9.189197054053487322e-6,0.250001722986,0.750002871627,3.7139866446,0.2579356374,0.9999999929,1221
149,9.066675735436169150e-6,0.250001700013,0.750002833339,3.7139861216,-0.2579356388,0.9999999930,1226
150,8.946588580877323375e-6,0.250001677496,0.750002795811,3.7139856091,0.2579356403,0.9999999931,1232
151,8.828871534545977689e-6,0.250001655424,0.750002759025,3.7139851066,-0.2579356417,0.9999999932,1237
152,8.713462633895562815e-6,0.250001633785,0.750002722959,3.7139846140,0.2579356431,0.9999999933,1242
153,8.600301928109327240e-6,0.250001612567,0.750002687597,3.7139841310,-0.2579356445,0.9999999934,1248
154,8.489331400228766400e-6,0.250001591759,0.750002652918,3.7139836573,0.2579356459,0.9999999934,1253
155,8.380494892776194901e-6,0.250001571352,0.750002618907,3.7139831928,-0.2579356472,0.9999999935,1258
156,8.273738036693429021e-6,0.250001551335,0.750002585545,3.7139827371,0.2579356485,0.9999999936,1264
157,8.169008183428655195e-6,0.250001531698,0.750002552817,3.7139822901,-0.2579356498,0.9999999937,1269
158,8.066254340013133382e-6,0.250001512431,0.750002520707,3.7139818515,0.2579356510,0.9999999938,1274
159,7.965427106978195015e-6,0.250001493526,0.750002489198,3.7139814212,-0.2579356522,0.9999999939,1280
160,7.866478618971458836e-6,0.250001474973,0.750002458277,3.7139809988,0.2579356534,0.9999999939,1285
161,7.769362487938931441e-6,0.250001456764,0.750002427928,3.7139805843,-0.2579356546,0.9999999940,1290
162,7.674033748747091264e-6,0.250001438889,0.750002398137,3.7139801774,0.2579356558,0.9999999941,1296
163,7.580448807125914836e-6,0.250001421342,0.750002368892,3.7139797780,-0.2579356569,0.9999999942,1301
164,7.488565389820343247e-6,0.250001404114,0.750002340178,3.7139793858,0.2579356580,0.9999999942,1306
165,7.398342496843726933e-6,0.250001387197,0.750002311984,3.7139790007,-0.2579356591,0.9999999943,1312
166,7.309740355732591634e-6,0.250001370584,0.750002284296,3.7139786225,0.2579356602,0.9999999944,1317
167,7.222720377707404665e-6,0.250001354267,0.750002257102,3.7139782511,-0.2579356613,0.9999999944,1322
168,7.137245115649127408e-6,0.250001338240,0.750002230391,3.7139778862,0.2579356623,0.9999999945,1328
169,7.053278223806104499e-6,0.250001322496,0.750002204151,3.7139775278,-0.2579356633,0.9999999946,1333
170,6.970784419150348081e-6,0.250001307029,0.750002178372,3.7139771757,0.2579356643,0.9999999946,1338
171,6.889729444306486115e-6,0.250001291831,0.750002153042,3.7139768298,-0.2579356653,0.9999999947,1344
172,6.810080031980675594e-6,0.250001276896,0.750002128151,3.7139764898,0.2579356663,0.9999999947,1349
173,6.731803870820494059e-6,0.250001262219,0.750002103690,3.7139761557,-0.2579356672,0.9999999948,1354
174,6.654869572640416799e-6,0.250001247794,0.750002079648,3.7139758273,0.2579356682,0.9999999949,1360
