# wt_growth c=2 e=1 p=288230376151711603 (index 1) dmax=43
# d u_d translations_in_sphere samesphere_hits secs maxrss_mb
0 1 1 0 0.0 2
1 3 0 0 0.0 2
2 5 0 0 0.0 2
3 8 0 0 0.0 2
4 13 0 0 0.0 2
5 21 0 0 0.0 2
6 34 4 0 0.0 2
7 55 0 0 0.0 2
8 89 2 0 0.0 2
9 144 0 0 0.0 2
10 225 14 0 0.0 2
11 351 0 0 0.0 2
12 554 10 0 0.0 2
13 864 0 0 0.0 3
14 1303 48 0 0.0 3
15 1949 0 0 0.0 3
16 2954 32 0 0.0 3
17 4460 0 0 0.0 3
18 6581 154 0 0.0 3
19 9689 0 0 0.0 3
20 14409 108 0 0.1 4
21 21337 0 0 0.1 4
22 31059 468 0 0.1 4
23 45173 0 0 0.1 5
24 66241 300 0 0.2 6
25 96814 0 0 0.3 8
26 139884 1326 0 0.4 10
27 202017 0 0 0.6 14
28 293352 826 0 0.8 19
29 424845 0 0 1.1 26
30 610837 3692 0 1.4 35
31 877996 0 0 1.9 50
32 1266452 2218 0 2.6 69
33 1823126 0 0 3.4 99
34 2613145 9696 0 4.6 140
35 3744348 0 0 6.2 206
36 5377202 5722 0 8.3 288
37 7711039 0 0 11.4 407
38 11027854 25478 0 15.7 577
39 15766892 0 0 21.9 822
40 22577304 14148 0 30.5 1148
41 32294983 0 0 42.9 1507
42 46111663 65004 0 60.6 2083
43 65821668 0 0 85.7 2083
