# wt_growth c=2 e=3 p=288230376151711607 (index 0) dmax=120
# d u_d translations_in_sphere samesphere_hits secs maxrss_mb
0 1 1 0 0.0 2
1 3 0 0 0.0 2
2 5 0 0 0.0 2
3 8 0 0 0.0 2
4 13 0 0 0.0 2
5 21 0 0 0.0 2
6 34 4 0 0.0 2
7 55 0 0 0.0 2
8 89 2 0 0.0 2
9 144 0 0 0.0 2
10 225 14 0 0.0 2
11 351 0 0 0.0 2
12 554 10 0 0.0 2
13 875 0 0 0.0 3
14 1345 56 0 0.0 3
15 2054 0 0 0.0 3
16 3164 42 0 0.0 3
17 4837 0 0 0.0 3
18 7217 190 0 0.0 3
19 10708 0 0 0.1 3
20 15992 146 0 0.1 4
21 23800 0 0 0.1 4
22 34858 582 0 0.1 5
23 51100 0 0 0.2 6
24 75360 428 0 0.2 7
25 110804 0 0 0.3 9
26 161068 1696 0 0.4 12
27 233879 0 0 0.6 16
28 340786 1188 0 0.8 21
29 495260 0 0 1.2 29
30 714121 4814 0 1.7 40
31 1029815 0 0 2.3 57
32 1489479 3186 0 3.0 80
33 2150563 0 0 4.2 115
34 3089583 13122 0 5.5 166
35 4437828 0 0 7.3 234
36 6388284 8150 0 9.8 337
37 9182462 0 0 13.4 477
38 13151119 34426 0 18.4 685
39 18833750 0 0 25.6 974
40 27009211 20818 0 36.2 1347
41 38694911 0 0 51.8 1775
42 55324831 87792 0 73.1 2433
