# wt_growth c=4 e=1 p=288230376151711607 (index 0) dmax=120
# d u_d translations_in_sphere samesphere_hits secs maxrss_mb
0 1 1 0 0.0 2
1 3 0 0 0.0 2
2 5 0 0 0.0 2
3 8 0 0 0.0 2
4 13 0 0 0.0 2
5 21 0 0 0.0 2
6 34 4 0 0.0 2
7 55 0 0 0.0 2
8 89 2 0 0.0 2
9 144 0 0 0.0 2
10 225 14 0 0.0 2
11 351 0 0 0.0 2
12 554 10 0 0.0 3
13 875 0 0 0.0 3
14 1345 56 0 0.0 3
15 2066 0 0 0.0 3
16 3203 44 0 0.0 3
17 4971 0 0 0.0 3
18 7574 212 0 0.0 3
19 11543 0 0 0.1 4
20 17683 206 0 0.1 4
21 27108 0 0 0.1 4
22 41067 774 0 0.1 5
23 62263 0 0 0.2 6
24 94622 886 0 0.3 8
25 143858 0 0 0.4 10
26 216989 2800 0 0.6 14
27 327560 0 0 0.9 19
28 494910 3678 0 1.2 28
29 748116 0 0 1.7 39
30 1125099 10036 0 2.3 58
31 1693232 0 0 3.1 85
32 2548067 14692 0 4.3 125
33 3836095 0 0 5.9 189
34 5755741 35838 0 8.4 277
35 8641542 0 0 11.8 411
36 12967642 57014 0 16.9 618
37 19467452 0 0 24.7 917
38 29158742 128040 0 36.0 1422
39 43699027 0 0 53.3 1879
40 65445638 215916 0 79.0 2470
