# wt_growth c=3 e=2 p=288230376151711687 (index 0) dmax=120
# d u_d translations_in_sphere samesphere_hits secs maxrss_mb
0 1 1 0 0.0 2
1 3 0 0 0.0 2
2 5 0 0 0.0 2
3 8 0 0 0.0 2
4 13 0 0 0.0 2
5 21 0 0 0.0 2
6 34 4 0 0.0 2
7 55 0 0 0.0 2
8 89 2 0 0.0 2
9 144 0 0 0.0 2
10 225 14 0 0.0 2
11 351 0 0 0.0 2
12 554 10 0 0.0 3
13 875 0 0 0.0 3
14 1345 56 0 0.0 3
15 2066 0 0 0.0 3
16 3203 44 0 0.0 3
17 4971 0 0 0.0 3
18 7574 212 0 0.0 3
19 11543 0 0 0.1 4
20 17664 198 0 0.1 4
21 27017 0 0 0.1 4
22 40842 766 0 0.1 5
23 61767 0 0 0.2 6
24 93544 784 0 0.2 8
25 141774 0 0 0.3 10
26 213373 2710 0 0.4 14
27 321141 0 0 0.6 19
28 483298 3100 0 0.8 27
29 727916 0 0 1.2 38
30 1091187 9376 0 1.8 56
31 1635703 0 0 2.7 83
32 2450409 11582 0 3.8 121
33 3674074 0 0 5.3 181
34 5492154 32160 0 7.6 265
35 8210898 0 0 10.9 393
36 12265147 42156 0 16.0 581
37 18334298 0 0 22.9 872
38 27350921 108498 0 33.1 1355
39 40806640 0 0 48.0 1898
40 60828030 150872 0 70.5 2430
# GUARD stop at d=41 projected 3103 MB
