# wt_growth c=3 e=5 p=288230376151711583 (index 0) dmax=120
# d u_d translations_in_sphere samesphere_hits secs maxrss_mb
0 1 1 0 0.0 2
1 3 0 0 0.0 2
2 5 0 0 0.0 2
3 8 0 0 0.0 2
4 13 0 0 0.0 2
5 21 0 0 0.0 2
6 34 4 0 0.0 2
7 55 0 0 0.0 2
8 89 2 0 0.0 2
9 144 0 0 0.0 2
10 225 14 0 0.0 2
11 351 0 0 0.0 2
12 554 10 0 0.0 3
13 875 0 0 0.0 3
14 1345 56 0 0.0 3
15 2066 0 0 0.0 3
16 3203 44 0 0.0 3
17 4971 0 0 0.0 3
18 7574 212 0 0.0 3
19 11543 0 0 0.0 4
20 17683 206 0 0.1 4
21 27108 0 0 0.1 4
22 41067 774 0 0.1 5
23 62263 0 0 0.2 6
24 94599 876 0 0.2 8
25 143740 0 0 0.3 10
26 216733 2812 0 0.4 14
27 326923 0 0 0.6 19
28 493255 3582 0 0.9 27
29 744480 0 0 1.3 39
30 1118090 9880 0 1.9 57
31 1679753 0 0 2.8 85
32 2522196 13816 0 3.8 124
33 3788915 0 0 5.2 186
34 5673996 34402 0 7.4 273
35 8500056 0 0 10.9 404
36 12723305 51672 0 16.0 610
37 19054260 0 0 23.3 903
38 28476111 117386 0 34.0 1403
39 42570156 0 0 50.9 1928
40 63582968 188898 0 76.1 2898
