# wt_growth c=3 e=4 p=288230376151711531 (index 0) dmax=120
# d u_d translations_in_sphere samesphere_hits secs maxrss_mb
0 1 1 0 0.0 2
1 3 0 0 0.0 2
2 5 0 0 0.0 2
3 8 0 0 0.0 2
4 13 0 0 0.0 2
5 21 0 0 0.0 2
6 34 4 0 0.0 2
7 55 0 0 0.0 2
8 89 2 0 0.0 2
9 144 0 0 0.0 2
10 225 14 0 0.0 2
11 351 0 0 0.0 2
12 554 10 0 0.0 2
13 875 0 0 0.0 3
14 1345 56 0 0.0 3
15 2066 0 0 0.0 3
16 3203 44 0 0.0 3
17 4971 0 0 0.0 3
18 7574 212 0 0.0 3
19 11543 0 0 0.1 4
20 17683 206 0 0.1 4
21 27090 0 0 0.1 4
22 41010 772 0 0.1 5
23 62101 0 0 0.2 6
24 94185 836 0 0.2 8
25 142887 0 0 0.3 10
26 215166 2770 0 0.4 14
27 324133 0 0 0.6 19
28 488428 3334 0 0.9 27
29 736335 0 0 1.4 39
30 1104738 9628 0 2.0 56
31 1657773 0 0 3.0 83
32 2486218 12794 0 4.2 122
33 3730974 0 0 5.6 183
34 5582276 32930 0 7.8 269
35 8354015 0 0 10.9 400
36 12490799 47400 0 15.5 601
37 18686961 0 0 22.5 887
38 27900641 111884 0 33.3 1376
39 41665960 0 0 48.5 1843
40 62163998 171328 0 72.5 2393
# GUARD stop at d=41 projected 3172 MB
